,molecule_chembl_id,IC50,units,smiles,pIC50
111,CHEMBL565466,3.3,nM,CC[C@@H](C)[C@@H](NC(=O)[C@H](O)Cc1ccccc1)C(=O)N1[C@H](C(=O)NCc2ccc(C(=N)N)cc2)C[C@@H]2CCCC[C@@H]21,8.481486060122112
112,CHEMBL3740791,3.33,nM,Cc1ccnc(N(CCC(=O)O)C(=O)c2ccc3c(c2)nc(CNc2ccc(C(=N)N)cc2F)n3C)c1,8.47755576649368
113,CHEMBL4076284,3.35,nM,Cc1ccc(C)c(N(CCC(=O)O)C(=O)c2ccc3c(c2)nc(CNc2ccc(C(=N)N)cc2F)n3C)c1,8.474955192963154
114,CHEMBL3415215,3.39,nM,CCn1c(CNc2ccc(C(=N)N)cc2F)nc2cc(C(=O)N(CCC(=O)O)c3ccccn3)ccc21,8.469800301796917
115,CHEMBL392197,3.4,nM,N=C(N)c1ccc(CNC(=O)[C@@H]2C[C@@H]3CCCC[C@@H]3N2C(=O)C(NC(=O)[C@H](O)Cc2ccccc2)C2CCCCC2)cc1,8.468521082957745
116,CHEMBL567464,3.4,nM,N=C(N)c1ccc(CNC(=O)[C@@H]2C[C@@H]3CCCC[C@@H]3N2C(=O)[C@H](NC(=O)[C@H](O)Cc2ccccc2)C(C2CCCCC2)C2CCCCC2)cc1,8.468521082957745
117,CHEMBL208055,3.4,nM,N=C(N)c1ccc(CNC(=O)[C@@H]2CCNN2C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)cn1,8.468521082957745
118,CHEMBL1352280,3.42,nM,CCC(=O)n1nc(-c2ccco2)nc1SCc1ccccc1,8.465973893943865
119,CHEMBL3415062,3.49,nM,Cn1c(CNc2ccc(C(=N)N)cc2F)nc2cc(C(=O)N(CCC(=O)O)c3ccccn3)ccc21,8.45717457304082
120,CHEMBL366902,3.5,nM,C[C@@](N)(Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NC(CCCN=C(N)N)C(=O)c1nc2ccccc2s1,8.455931955649724
121,CHEMBL3740288,3.548,nM,CCn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccccc3F)ccc21,8.45001638884031
122,CHEMBL1160045,3.6,nM,N=C(N)c1ccc(CNC(=O)[C@@H]2C=CCN2C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)s1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,8.443697499232712
123,CHEMBL3741532,3.69,nM,CCn1c(CNc2ccc(C(=N)N)cc2F)nc2cc(C(=O)N(CCC(=O)O)c3cc(C)ccn3)ccc21,8.43297363384094
124,CHEMBL4078405,3.7,nM,Cc1cc(C)cc(N(CCC(=O)O)C(=O)c2ccc3c(c2)nc(CNc2ccc(C(=N)N)cc2F)n3C)c1,8.431798275933005
125,CHEMBL203590,3.7,nM,COc1ccc(S(=O)(=O)NC[C@@H](O)[C@H](Cc2ccccc2)NCc2cc(Cl)ccc2-n2cnnn2)cc1,8.431798275933005
126,CHEMBL3415209,3.715,nM,CCn1c(CNc2ccc(C(=N)N)cc2F)nc2cc(C(=O)N(CCC(=O)O)c3ccccc3F)ccc21,8.430041181903405
127,CHEMBL1166,3.88,nM,CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1,8.411168274405792
128,CHEMBL3740928,3.981,nM,Cn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccc(F)c(F)c3)ccc21,8.400007822415901
129,CHEMBL457155,4.0,nM,CC(C)=CC(=O)C[C@H]1C(=O)O[C@H]2C[C@]3(C)C4=CC[C@H]5[C@]6(C)C(=O)O[C@@H]6CC[C@]5(C)[C@H]4CC[C@@]3(C)[C@@H]21,8.397940008672037
130,CHEMBL4642115,4.0,nM,CC(C)C[C@@H](NC1CCCCC1)C(=O)N1CCCC[C@H]1C(=O)NCc1ccc2c(N)nccc2c1,8.397940008672037
131,CHEMBL364255,4.0,nM,N[C@H]1CC[C@H](CNC(=O)[C@@H]2CCCN2C(=O)C2(O)c3ccccc3-c3ccccc32)CC1,8.397940008672037
132,CHEMBL3787587,4.0,nM,O=C(NCc1cc(Cl)ccc1-n1cnnn1)[C@@H]1CC=NN1C(=O)[C@H](O)c1ccc(F)cc1,8.397940008672037
133,CHEMBL256941,4.0,nM,Cc1cccc(S(=O)(=O)Nc2ccc(C)n(CC(=O)NCCONC(=N)N)c2=O)c1,8.397940008672037
134,CHEMBL3800608,4.18,nM,CCn1c(CNc2ccc(C(=N)N)cc2F)nc2cc(C(=O)N(CCC(=O)O)c3ccc(F)c(C)c3)ccc21,8.378823718224965
135,CHEMBL4441346,4.2,nM,COc1ccc(NC(=O)c2nc3c(s2)CN(C)CC3)c(C(=O)Nc2ccc(Cl)cn2)c1,8.3767507096021
136,CHEMBL141889,4.2,nM,Cc1cnc(NCC(F)(F)c2ccccn2)c(=O)n1CC(=O)NCc1ncccc1F,8.3767507096021
137,CHEMBL3982468,4.23,nM,CCn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccc(F)cc3F)ccc21,8.373659632624957
138,CHEMBL1350952,4.26,nM,CCCC(=O)n1nc(-c2cccnc2)nc1NCc1cccs1,8.370590400897282
139,CHEMBL3741212,4.266,nM,CCn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccc(F)cc3)ccc21,8.369979148886591
140,CHEMBL208494,4.28,nM,N=C(N)c1sc(CNC(=O)[C@@H]2C=CCN2C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)cc1Cl,8.368556230986828
141,CHEMBL4114466,4.3,nM,COc1cc(C(=O)N2CC(C)(C)OC[C@H]2CCO)cc2nc(NC(CF)c3cccc(Cl)c3)oc12,8.366531544420413
142,CHEMBL3979944,4.4,nM,COc1cc(C(=O)N2CC(C)OC[C@@H]2CC(=O)O)cc2nc(NC(CF)c3cccc(Cl)c3)oc12,8.356547323513812
143,CHEMBL403768,4.5,nM,CN[C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nc2ccccc2s1)C(c1ccccc1)c1ccccc1,8.346787486224656
144,CHEMBL176385,4.5,nM,CN[C@@H](C(=O)N1CCC[C@H]1C(=O)NC(CCCN=C(N)N)C(=O)c1nc2ccccc2s1)C(c1ccccc1)c1ccccc1,8.346787486224656
145,CHEMBL3415059,4.571,nM,Cn1c(CNc2ccc(C(=N)N)cc2F)nc2cc(C(=O)N(CCC(=O)O)c3cccc(F)c3)ccc21,8.33998877871067
146,CHEMBL1373768,4.65,nM,COc1ccccc1C(=O)n1nc(-c2cccnc2)nc1NCc1ccccc1,8.332547047110046
147,CHEMBL3974821,4.69,nM,CCn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccccc3)ccc21,8.328827157284916
148,CHEMBL266349,4.7,nM,N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1,8.327902142064282
149,CHEMBL3415058,4.84,nM,COc1cccc(N(CCC(=O)O)C(=O)c2ccc3c(c2)nc(CNc2ccc(C(=N)N)cc2F)n3C)c1,8.315154638355587
